Loan_ID,Gender,d_gender,Married,d_married,Dependents,d_dependents,Education,d_education,Self_Employed,d_self_employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,d_urban,d_rural,Loan_Status,d_loan_status
LP001002,Male,0,No,0,0,0,Graduate,1,No,0,5849,0,,360,1,Urban,1,0,Y,1
LP001003,Male,0,Yes,1,1,1,Graduate,1,No,0,4583,1508,128,360,1,Rural,0,1,N,0
LP001005,Male,0,Yes,1,0,0,Graduate,1,Yes,1,3000,0,66,360,1,Urban,1,0,Y,1
LP001006,Male,0,Yes,1,0,0,Not Graduate,0,No,0,2583,2358,120,360,1,Urban,1,0,Y,1
LP001008,Male,0,No,0,0,0,Graduate,1,No,0,6000,0,141,360,1,Urban,1,0,Y,1
LP001011,Male,0,Yes,1,2,1,Graduate,1,Yes,1,5417,4196,267,360,1,Urban,1,0,Y,1
LP001013,Male,0,Yes,1,0,0,Not Graduate,0,No,0,2333,1516,95,360,1,Urban,1,0,Y,1
LP001014,Male,0,Yes,1,3+,1,Graduate,1,No,0,3036,2504,158,360,0,Semiurban,0,0,N,0
LP001018,Male,0,Yes,1,2,1,Graduate,1,No,0,4006,1526,168,360,1,Urban,1,0,Y,1
LP001020,Male,0,Yes,1,1,1,Graduate,1,No,0,12841,10968,349,360,1,Semiurban,0,0,N,0
LP001024,Male,0,Yes,1,2,1,Graduate,1,No,0,3200,700,70,360,1,Urban,1,0,Y,1
LP001027,Male,0,Yes,1,2,1,Graduate,1,Yes,0,2500,1840,109,360,1,Urban,1,0,Y,1
LP001028,Male,0,Yes,1,2,1,Graduate,1,No,0,3073,8106,200,360,1,Urban,1,0,Y,1
LP001029,Male,0,No,0,0,0,Graduate,1,No,0,1853,2840,114,360,1,Rural,0,1,N,0
LP001030,Male,0,Yes,1,2,1,Graduate,1,No,0,1299,1086,17,120,1,Urban,1,0,Y,1
LP001032,Male,0,No,0,0,0,Graduate,1,No,0,4950,0,125,360,1,Urban,1,0,Y,1
LP001034,Male,0,No,0,1,1,Not Graduate,0,No,0,3596,0,100,240,0,Urban,1,0,Y,1
LP001036,Female,1,No,0,0,0,Graduate,1,No,0,3510,0,76,360,0,Urban,1,0,N,0
LP001038,Male,0,Yes,1,0,0,Not Graduate,0,No,0,4887,0,133,360,1,Rural,0,1,N,0
LP001041,Male,0,Yes,1,0,0,Graduate,1,No,0,2600,3500,115,,1,Urban,1,0,Y,1
LP001043,Male,0,Yes,1,0,0,Not Graduate,0,No,0,7660,0,104,360,0,Urban,1,0,N,0
LP001046,Male,0,Yes,1,1,1,Graduate,1,No,0,5955,5625,315,360,1,Urban,1,0,Y,1
LP001047,Male,0,Yes,1,0,0,Not Graduate,0,No,0,2600,1911,116,360,0,Semiurban,0,0,N,0
LP001050,Female,1,Yes,1,2,1,Not Graduate,0,No,0,3365,1917,112,360,0,Rural,0,1,N,0
LP001052,Male,0,Yes,1,1,1,Graduate,1,Yes,0,3717,2925,151,360,,Semiurban,0,0,N,0
LP001066,Male,0,Yes,1,0,0,Graduate,1,Yes,1,9560,0,191,360,1,Semiurban,0,0,Y,1
LP001068,Male,0,Yes,1,0,0,Graduate,1,No,0,2799,2253,122,360,1,Semiurban,0,0,Y,1
LP001073,Male,0,Yes,1,2,1,Not Graduate,0,No,0,4226,1040,110,360,1,Urban,1,0,Y,1
LP001086,Male,0,No,0,0,0,Not Graduate,0,No,0,1442,0,35,360,1,Urban,1,0,N,0
LP001087,Female,1,No,0,2,1,Graduate,1,No,0,3750,2083,120,360,1,Semiurban,0,0,Y,1
LP001091,Male,0,Yes,1,1,1,Graduate,1,Yes,0,4166,3369,201,360,,Urban,1,0,N,0
LP001095,Male,0,No,0,0,0,Graduate,1,No,0,3167,0,74,360,1,Urban,1,0,N,0
LP001097,Male,0,No,0,1,1,Graduate,1,Yes,1,4692,0,106,360,1,Rural,0,1,N,0
LP001098,Male,0,Yes,1,0,0,Graduate,1,No,0,3500,1667,114,360,1,Semiurban,0,0,Y,1
LP001100,Male,0,No,0,3+,1,Graduate,1,No,0,12500,3000,320,360,1,Rural,0,1,N,0
LP001106,Male,0,Yes,1,0,0,Graduate,1,No,0,2275,2067,,360,1,Urban,1,0,Y,1
LP001109,Male,0,Yes,1,0,0,Graduate,1,No,0,1828,1330,100,,0,Urban,1,0,N,0
LP001112,Female,1,Yes,1,0,0,Graduate,1,No,0,3667,1459,144,360,1,Semiurban,0,0,Y,1
LP001114,Male,0,No,0,0,0,Graduate,1,No,0,4166,7210,184,360,1,Urban,1,0,Y,1
LP001116,Male,0,No,0,0,0,Not Graduate,0,No,0,3748,1668,110,360,1,Semiurban,0,0,Y,1
LP001119,Male,0,No,0,0,0,Graduate,1,No,0,3600,0,80,360,1,Urban,1,0,N,0
LP001120,Male,0,No,0,0,0,Graduate,1,No,0,1800,1213,47,360,1,Urban,1,0,Y,1
LP001123,Male,0,Yes,1,0,0,Graduate,1,No,0,2400,0,75,360,,Urban,1,0,Y,1
LP001131,Male,0,Yes,1,0,0,Graduate,1,No,0,3941,2336,134,360,1,Semiurban,0,0,Y,1
LP001136,Male,0,Yes,1,0,0,Not Graduate,0,Yes,1,4695,0,96,,1,Urban,1,0,Y,1
LP001137,Female,1,No,0,0,0,Graduate,1,No,0,3410,0,88,,1,Urban,1,0,Y,1
LP001138,Male,0,Yes,1,1,1,Graduate,1,No,0,5649,0,44,360,1,Urban,1,0,Y,1
LP001144,Male,0,Yes,1,0,0,Graduate,1,No,0,5821,0,144,360,1,Urban,1,0,Y,1
LP001146,Female,1,Yes,1,0,0,Graduate,1,No,0,2645,3440,120,360,0,Urban,1,0,N,0
LP001151,Female,1,No,0,0,0,Graduate,1,No,0,4000,2275,144,360,1,Semiurban,0,0,Y,1
LP001155,Female,1,Yes,1,0,0,Not Graduate,0,No,0,1928,1644,100,360,1,Semiurban,0,0,Y,1
LP001157,Female,1,No,0,0,0,Graduate,1,No,0,3086,0,120,360,1,Semiurban,0,0,Y,1
LP001164,Female,1,No,0,0,0,Graduate,1,No,0,4230,0,112,360,1,Semiurban,0,0,N,0
LP001179,Male,0,Yes,1,2,1,Graduate,1,No,0,4616,0,134,360,1,Urban,1,0,N,0
LP001186,Female,1,Yes,1,1,1,Graduate,1,Yes,1,11500,0,286,360,0,Urban,1,0,N,0
LP001194,Male,0,Yes,1,2,1,Graduate,1,No,0,2708,1167,97,360,1,Semiurban,0,0,Y,1
LP001195,Male,0,Yes,1,0,0,Graduate,1,No,0,2132,1591,96,360,1,Semiurban,0,0,Y,1
LP001197,Male,0,Yes,1,0,0,Graduate,1,No,0,3366,2200,135,360,1,Rural,0,1,N,0
LP001198,Male,0,Yes,1,1,1,Graduate,1,No,0,8080,2250,180,360,1,Urban,1,0,Y,1
LP001199,Male,0,Yes,1,2,1,Not Graduate,0,No,0,3357,2859,144,360,1,Urban,1,0,Y,1
LP001205,Male,0,Yes,1,0,0,Graduate,1,No,0,2500,3796,120,360,1,Urban,1,0,Y,1
LP001206,Male,0,Yes,1,3+,1,Graduate,1,No,0,3029,0,99,360,1,Urban,1,0,Y,1
LP001207,Male,0,Yes,1,0,0,Not Graduate,0,Yes,1,2609,3449,165,180,0,Rural,0,1,N,0
LP001213,Male,0,Yes,1,1,1,Graduate,1,No,0,4945,0,,360,0,Rural,0,1,N,0
LP001222,Female,1,No,0,0,0,Graduate,1,No,0,4166,0,116,360,0,Semiurban,0,0,N,0
LP001225,Male,0,Yes,1,0,0,Graduate,1,No,0,5726,4595,258,360,1,Semiurban,0,0,N,0
LP001228,Male,0,No,0,0,0,Not Graduate,0,No,0,3200,2254,126,180,0,Urban,1,0,N,0
LP001233,Male,0,Yes,1,1,1,Graduate,1,No,0,10750,0,312,360,1,Urban,1,0,Y,1
LP001238,Male,0,Yes,1,3+,1,Not Graduate,0,Yes,1,7100,0,125,60,1,Urban,1,0,Y,1
LP001241,Female,1,No,0,0,0,Graduate,1,No,0,4300,0,136,360,0,Semiurban,0,0,N,0
LP001243,Male,0,Yes,1,0,0,Graduate,1,No,0,3208,3066,172,360,1,Urban,1,0,Y,1
LP001245,Male,0,Yes,1,2,1,Not Graduate,0,Yes,1,1875,1875,97,360,1,Semiurban,0,0,Y,1
LP001248,Male,0,No,0,0,0,Graduate,1,No,0,3500,0,81,300,1,Semiurban,0,0,Y,1
LP001250,Male,0,Yes,1,3+,1,Not Graduate,0,No,0,4755,0,95,,0,Semiurban,0,0,N,0
LP001253,Male,0,Yes,1,3+,1,Graduate,1,Yes,1,5266,1774,187,360,1,Semiurban,0,0,Y,1
LP001255,Male,0,No,0,0,0,Graduate,1,No,0,3750,0,113,480,1,Urban,1,0,N,0
LP001256,Male,0,No,0,0,0,Graduate,1,No,0,3750,4750,176,360,1,Urban,1,0,N,0
LP001259,Male,0,Yes,1,1,1,Graduate,1,Yes,1,1000,3022,110,360,1,Urban,1,0,N,0
LP001263,Male,0,Yes,1,3+,1,Graduate,1,No,0,3167,4000,180,300,0,Semiurban,0,0,N,0
LP001264,Male,0,Yes,1,3+,1,Not Graduate,0,Yes,1,3333,2166,130,360,,Semiurban,0,0,Y,1
LP001265,Female,1,No,0,0,0,Graduate,1,No,0,3846,0,111,360,1,Semiurban,0,0,Y,1
LP001266,Male,0,Yes,1,1,1,Graduate,1,Yes,1,2395,0,,360,1,Semiurban,0,0,Y,1
LP001267,Female,1,Yes,1,2,1,Graduate,1,No,0,1378,1881,167,360,1,Urban,1,0,N,0
LP001273,Male,0,Yes,1,0,0,Graduate,1,No,0,6000,2250,265,360,,Semiurban,0,0,N,0
LP001275,Male,0,Yes,1,1,1,Graduate,1,No,0,3988,0,50,240,1,Urban,1,0,Y,1
LP001279,Male,0,No,0,0,0,Graduate,1,No,0,2366,2531,136,360,1,Semiurban,0,0,Y,1
LP001280,Male,0,Yes,1,2,1,Not Graduate,0,No,0,3333,2000,99,360,,Semiurban,0,0,Y,1
